date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20200605,6/5/2020,5,5,157,Friday,Fri,y,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/5/2019
20200606,6/6/2020,6,6,158,Saturday,Sat,n,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/6/2019
20200607,6/7/2020,7,7,159,Sunday,Sun,n,23,23,6/1/2020,20200601,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/7/2019
20200608,6/8/2020,1,8,160,Monday,Mon,y,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/8/2019
20200609,6/9/2020,2,9,161,Tuesday,Tue,y,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/9/2019
20200610,6/10/2020,3,10,162,Wednesday,Wed,y,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/10/2019
20200611,6/11/2020,4,11,163,Thursday,Thu,y,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/11/2019
20200612,6/12/2020,5,12,164,Friday,Fri,y,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/12/2019
20200613,6/13/2020,6,13,165,Saturday,Sat,n,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/13/2019
20200614,6/14/2020,7,14,166,Sunday,Sun,n,24,24,6/8/2020,20200608,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/14/2019
20200615,6/15/2020,1,15,167,Monday,Mon,y,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/15/2019
20200616,6/16/2020,2,16,168,Tuesday,Tue,y,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/16/2019
20200617,6/17/2020,3,17,169,Wednesday,Wed,y,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/17/2019
20200618,6/18/2020,4,18,170,Thursday,Thu,y,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/18/2019
20200619,6/19/2020,5,19,171,Friday,Fri,y,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/19/2019
20200620,6/20/2020,6,20,172,Saturday,Sat,n,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/20/2019
20200621,6/21/2020,7,21,173,Sunday,Sun,n,25,25,6/15/2020,20200615,6,6,June,Jun,2,2020,202006,12,4,2020,n,6/21/2019
